user_id	product_id	user_review_count	rating	year	month	day	label
0	349	14	118	4.0	2019	4	19	1
1	191	14	64	4.0	2019	3	11	1
2	267	14	733	4.0	2019	2	27	1
3	17	14	118	4.0	2019	2	12	1
4	33	14	130	4.0	2018	9	18	1
5	283	14	2071	5.0	2018	6	21	1
6	166	14	317	3.0	2018	5	26	1
7	223	14	177	4.0	2018	8	2	1
8	24	14	16	1.0	2019	2	27	0
9	230	14	330	1.0	2018	10	8	0
10	367	14	26	4.0	2019	4	2	1
11	343	14	1434	5.0	2018	9	26	1
12	307	14	1187	4.0	2018	4	28	1
13	96	14	7	4.0	2019	2	13	1
14	217	14	10	4.0	2019	3	17	1
15	18	14	117	5.0	2018	9	11	1
16	2	14	132	5.0	2018	10	2	1
17	280	14	487	2.0	2018	7	5	0
18	155	14	177	2.0	2018	9	3	0
19	251	8	11	5.0	2019	4	19	1
20	202	8	6	5.0	2019	4	15	1
21	148	8	497	5.0	2019	4	14	1
22	113	8	204	5.0	2019	4	12	1
23	318	8	163	5.0	2019	3	24	1
24	151	8	414	5.0	2019	3	24	1
25	32	8	649	4.0	2019	3	16	1
26	324	8	131	3.0	2019	3	12	1
27	319	8	1757	4.0	2019	4	6	1
28	322	8	878	4.0	2019	3	4	1
29	334	8	183	5.0	2019	4	20	1
30	333	8	188	4.0	2019	2	21	1
31	36	8	73	5.0	2019	2	21	1
32	356	8	103	5.0	2019	4	18	1
33	366	8	186	3.0	2019	3	25	1
34	181	8	79	5.0	2019	2	18	1
35	178	8	209	5.0	2019	1	31	1
36	219	8	153	5.0	2019	1	21	1
37	263	4	3	5.0	2019	3	13	1
38	194	4	4614	3.0	2019	4	9	1
39	81	4	2	5.0	2019	1	10	1
40	365	4	1	5.0	2019	3	15	1
41	108	4	244	4.0	2018	11	2	1
42	150	4	1	5.0	2019	4	15	1
43	293	4	331	4.0	2018	12	18	1
44	68	4	349	5.0	2018	12	17	1
45	312	4	6	5.0	2019	2	24	1
46	19	4	63	1.0	2019	3	2	0
47	258	4	43	4.0	2019	4	6	1
48	163	4	2	5.0	2019	3	14	1
